date,temp,humid,watersensor
2019-06-26T12:07:04, 19.0*C, 76.0%, 1
2019-06-26T13:07:04, 19.0*C, 75.0%, 0
2019-06-26T14:07:04, 19.0*C, 75.0%, 0
2019-06-26T15:07:04, 19.0*C, 75.0%, 0
2019-06-26T16:07:04, 19.0*C, 75.0%, 0
2019-06-26T17:07:06, 19.0*C, 77.0%, 0
2019-06-26T18:07:09, 19.0*C, 77.0%, 0
2019-06-26T19:07:04, 19.0*C, 77.0%, 0
2019-06-26T20:07:03, 19.0*C, 78.0%, 0
2019-06-26T21:07:04, 19.0*C, 78.0%, 0
2019-06-26T22:07:04, 19.0*C, 78.0%, 0
2019-06-26T23:07:04, 19.0*C, 78.0%, 0
2019-06-27T00:07:04, 19.0*C, 78.0%, 0
2019-06-27T01:07:04, 19.0*C, 78.0%, 0
2019-06-27T02:07:06, 19.0*C, 77.0%, 0
2019-06-27T03:07:07, 19.0*C, 77.0%, 0
2019-06-27T04:07:04, 19.0*C, 77.0%, 0
2019-06-27T05:07:04, 19.0*C, 77.0%, 0
2019-06-27T06:07:04, 19.0*C, 76.0%, 0
2019-06-27T07:07:04, 19.0*C, 77.0%, 0
2019-06-27T08:07:04, 19.0*C, 77.0%, 1
2019-06-27T09:07:04, 19.0*C, 77.0%, 0
2019-06-27T10:07:06, 19.0*C, 76.0%, 0
2019-06-27T11:07:04, 19.0*C, 76.0%, 1
2019-06-27T12:07:04, 19.0*C, 75.0%, 0
2019-06-27T13:07:04, 19.0*C, 75.0%, 0
2019-06-27T14:07:04, 19.0*C, 75.0%, 0
2019-06-27T15:07:04, 19.0*C, 76.0%, 0
2019-06-27T16:07:04, 19.0*C, 76.0%, 0
2019-06-27T17:07:04, 19.0*C, 77.0%, 0
2019-06-27T18:07:04, 19.0*C, 77.0%, 0
2019-06-27T19:07:04, 19.0*C, 77.0%, 0
2019-06-27T20:07:04, 19.0*C, 77.0%, 0
2019-06-27T21:07:06, 19.0*C, 78.0%, 0
2019-06-27T22:07:04, 19.0*C, 77.0%, 0
2019-06-27T23:07:03, 19.0*C, 77.0%, 0
2019-06-28T00:07:04, 19.0*C, 77.0%, 0
2019-06-28T01:07:03, 19.0*C, 77.0%, 0
2019-06-28T02:07:04, 19.0*C, 78.0%, 0
2019-06-28T03:07:04, 19.0*C, 78.0%, 0
2019-06-28T04:07:04, 19.0*C, 78.0%, 1
2019-06-28T05:07:04, 19.0*C, 78.0%, 0
2019-06-28T06:07:04, 19.0*C, 79.0%, 0
2019-06-28T07:07:04, 19.0*C, 78.0%, 0
2019-06-28T08:07:04, 19.0*C, 79.0%, 0
2019-06-28T09:07:04, 19.0*C, 79.0%, 0
2019-06-28T10:07:04, 19.0*C, 78.0%, 0
2019-06-28T11:07:04, 19.0*C, 78.0%, 0
2019-06-28T12:07:03, 19.0*C, 77.0%, 0
2019-06-28T13:07:04, 18.0*C, 77.0%, 0
2019-06-28T14:07:03, 18.0*C, 77.0%, 0
2019-06-28T15:07:04, 18.0*C, 76.0%, 0
2019-06-28T16:07:03, 18.0*C, 76.0%, 0
2019-06-28T17:07:06, 19.0*C, 78.0%, 0
2019-06-28T18:07:04, 19.0*C, 78.0%, 0
2019-06-28T19:07:09, 19.0*C, 78.0%, 0
2019-06-28T20:07:07, 19.0*C, 79.0%, 0
2019-06-28T21:07:03, 19.0*C, 78.0%, 0
